browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,mindsCode,link,calibration,id,age,sex,nationality
Chrome,98.0.4758.82,1366,768,Windows,en-US,2022-02-09_09:44:16,2022-02-09_11:44:16,M053971,https://www.testable.org/experiment/4597/148338/start?participant=M053971,0.78,M053971,"31",female,Zimbabwean

rowNo,type,stim1,stim2,stimPos,ITI,stimFormat,feedbackIncorrect,feedbackTime,head,responseType,responseOptions,if,then,fixation,button1,keyboard,key,cursor,random,trialType,correctSide,task,stimPos_actual,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
2,form,"","","","","","","",What is the highest level of education you completed?,dropdown,Less than High School; High School or Equivalent; College or Technical School; Bachelor's Degree; Master's Degree or Higher,Less than High School,screenout,"",Submit,"","","","","","","","",,"","",126049,Bachelor's Degree,5530,"0","4"
42,test,pigeonLarge,camelSmall,-250 0; 250 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-250 0;250 0,699,42,"16.68",178617,j,1613,"1",""
185,test,pizzaSmall,cookieLarge,-301 0; 301 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-301 0;301 0,701,42,"16.65",180747,f,1442,"1",""
216,test,wheelLarge,coinSmall,-299 0; 299 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-299 0;299 0,700,42,"16.65",182947,j,1509,"1",""
41,test,pigeonSmall,camelLarge,-255 0; 255 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",congruent,left,smaller,-255 0;255 0,700,42,"16.67",184760,f,1122,"1",""
99,test,trunkSmall,scissorsLarge,-198 0; 198 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-198 0;198 0,699,42,"16.67",186887,j,1425,"0",""
130,test,backpackLarge,dishwasherSmall,-262 0; 262 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-262 0;262 0,700,42,"16.67",194251,f,1680,"0",""
164,test,eggplantLarge,chilliSmall,-274 0; 274 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-274 0;274 0,700,42,"16.67",201167,j,1213,"1",""
83,test,giraffeSmall,antLarge,-324 0; 324 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-324 0;324 0,700,42,"16.67",203344,f,1490,"1",""
32,test,gorillaLarge,squirrelSmall,-306 0; 306 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",congruent,right,smaller,-306 0;306 0,699,42,"16.67",204774,j,731,"1",""
63,test,pandaSmall,chickenLarge,-338 0; 338 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,f,hide,"2",incongruent,left,smaller,-338 0;338 0,700,42,"16.65",206107,f,637,"1",""
182,test,radishLarge,cabbageSmall,-339 0; 339 0,"700",.jpg,"Oops, this is incorrect! \n    <br> Remember, choose the one which is <b>smaller</b> on the screen.","5000","","","","","",ITI,"",f j,j,hide,"2",incongruent,right,smaller,-339 0;339 0,699,42,"16.67",207542,j,752,"1",""
